restaurant_id,avg_risk,max_risk,last_score,inspections,latest_inspection,premises_name,premise_address_1,grade
HARRIS FOOD MART|8400 OLD STATESVILLE RD,0.7488714416168608,0.9134995916121843,94.0,6,2024-10-02,HARRIS FOOD MART,8400 OLD STATESVILLE RD,A
TACOS EL REGIO|8829 E W T HARRIS BV,0.7161400492735611,0.8337921540221427,88.5,5,2024-07-12,TACOS EL REGIO,8829 E W T HARRIS BV,B
TACO BOY LOSO|3700 SOUTH BV,0.715638029795216,0.7574021389472954,90.5,3,2024-12-09,TACO BOY LOSO,3700 SOUTH BV,A
COSTA DEL SOL PINEVILLE|10215 PARK RD,0.7082743714922489,0.8439790997799242,96.5,5,2024-10-21,COSTA DEL SOL PINEVILLE,10215 PARK RD,A
MEZEH MEDITERRANEAN GRILL STRAWBERRY HILL|4920 OLD SARDIS RD,0.704857587207344,0.8944685615353495,90.0,6,2024-11-14,MEZEH MEDITERRANEAN GRILL STRAWBERRY HILL,4920 OLD SARDIS RD,A
EL CARBONERO|4400 CENTRAL AV,0.6583264754599965,0.7256212963567419,93.0,3,2024-12-12,EL CARBONERO,4400 CENTRAL AV,A
JOYS BIRYANI N KABABS|212 N POLK ST,0.6409685238302709,0.7851813666842568,92.5,5,2024-10-25,JOYS BIRYANI N KABABS,212 N POLK ST,A
LA SA SON BY WINTER|4200 SOUTH BV,0.6237632205062041,0.8942610668631039,92.0,6,2024-09-19,LA SA SON BY WINTER,4200 SOUTH BV,A
WAKEY WAKEY|1640 SARDIS RD N,0.6140908186026529,0.6140908186026529,94.0,1,2024-10-21,WAKEY WAKEY,1640 SARDIS RD N,A
AMERICAN DELI|2004 BEATTIES FORD RD,0.6111290821422356,0.788915561743637,93.5,4,2024-09-18,AMERICAN DELI,2004 BEATTIES FORD RD,A
7-ELEVEN #35562|2825 LITTLE ROCK RD,0.6057585757350408,0.8602042231187488,90.0,4,2024-08-15,7-ELEVEN #35562,2825 LITTLE ROCK RD,A
TAQUERIA GAVIOTA LATINA|3112 THE PLAZA,0.6038813103619672,0.9632387820497023,96.5,8,2024-11-06,TAQUERIA GAVIOTA LATINA,3112 THE PLAZA,A
JACK IN THE BOX #6826|220 N HOSKINS RD,0.6005398086548188,0.7481654918764157,93.5,4,2024-10-04,JACK IN THE BOX #6826,220 N HOSKINS RD,A
CHURCHS CHICKEN #598|3443 WILKINSON BV,0.5961536613102405,0.8549617769870885,90.0,6,2024-09-12,CHURCHS CHICKEN #598,3443 WILKINSON BV,A
MARY'S MEXICAN RESTAURANT|118 TOM HUNTER RD,0.5920036432103192,0.5920036432103192,97.0,1,2024-10-02,MARY'S MEXICAN RESTAURANT,118 TOM HUNTER RD,A
CHEX GRILL & WINGS|6200 ALBEMARLE RD,0.5893596279932615,0.5893596279932615,95.5,1,2024-10-14,CHEX GRILL & WINGS,6200 ALBEMARLE RD,A
EL TACO DELI|7012 ALBEMARLE RD,0.5886149785170157,0.8315151793222832,93.5,6,2024-10-25,EL TACO DELI,7012 ALBEMARLE RD,A
KING CRAB JUICY SEAFOOD|7401 E INDEPENDENCE BV,0.5879272597490312,0.78872358352731,92.5,5,2024-12-11,KING CRAB JUICY SEAFOOD,7401 E INDEPENDENCE BV,A
TAQUERIA EXPRESS GRILL|6927 ALBEMARLE RD,0.5801507017899066,0.8037388206680066,90.0,6,2024-09-16,TAQUERIA EXPRESS GRILL,6927 ALBEMARLE RD,A
CRAFTY CRAB SEAFOOD|8933 J M KEYNES DR,0.570950745219761,0.8832350778457935,94.0,10,2024-12-09,CRAFTY CRAB SEAFOOD,8933 J M KEYNES DR,A
KOZI ITALIAN STREET FOOD|11318 NORTH COMMUNITY HOUSE RD,0.5643672734175716,0.5643672734175716,95.5,1,2024-10-25,KOZI ITALIAN STREET FOOD,11318 NORTH COMMUNITY HOUSE RD,A
BIG VIEW DINER|16637 LANCASTER HY,0.5621414299000905,0.6797649612231367,95.5,2,2024-09-18,BIG VIEW DINER,16637 LANCASTER HY,A
STELLA NOVA BAR|3920 SHARON RD,0.5619726180702251,0.5619726180702251,94.5,1,2024-09-25,STELLA NOVA BAR,3920 SHARON RD,A
HOOK & REEL|14142 RIVERGATE PY,0.5618377207404383,0.7760349912552313,97.0,7,2024-10-03,HOOK & REEL,14142 RIVERGATE PY,A
"ORIGINAL NY BAGELS, THE|610 JETTON ST",0.5612407400086108,0.930143729417627,99.5,4,2024-07-22,"ORIGINAL NY BAGELS, THE",610 JETTON ST,A
LA FETE|555 S MCDOWELL ST,0.5602246296054774,0.7146252739504136,98.0,3,2023-12-07,LA FETE,555 S MCDOWELL ST,A
"HORSESHOE, THE|1515 S MINT ST",0.5523538495476062,0.5523538495476062,90.0,1,2024-09-04,"HORSESHOE, THE",1515 S MINT ST,A
MARGARITAS MOUNTAIN ISLAND|3818 CORNING PL,0.5472101700681373,0.6658974915339875,92.0,2,2024-10-14,MARGARITAS MOUNTAIN ISLAND,3818 CORNING PL,A
CURRY JUNCTION|8200 PROVIDENCE RD,0.5429519454147274,0.5429519454147274,97.0,1,2024-09-13,CURRY JUNCTION,8200 PROVIDENCE RD,A
BOJANGLES' #541|2501 N TRYON ST,0.5402801299293307,0.7741758153055435,95.0,7,2024-11-13,BOJANGLES' #541,2501 N TRYON ST,A
THE OFFICE 2|7804 REA RD,0.5369275683305806,0.7185019545898638,95.0,3,2024-10-09,THE OFFICE 2,7804 REA RD,A
ZAFRAN KABAB PALACE|230 E W T HARRIS BV,0.5300927974068428,0.8028395788716534,93.0,6,2024-08-09,ZAFRAN KABAB PALACE,230 E W T HARRIS BV,A
WAFFLE HOUSE #449|3309 QUEEN CITY DR,0.525908800342336,0.8930587871374809,90.5,5,2024-10-23,WAFFLE HOUSE #449,3309 QUEEN CITY DR,A
SIXTY VINES|1415 VANTAGE PARK DR,0.5252329126391093,0.9160599212523217,95.0,5,2024-11-04,SIXTY VINES,1415 VANTAGE PARK DR,A
