premises_name,premise_address_1,premise_city,premise_state,premise_zip,clean_name,chain_name,business_type,ollama_category,business_type_final,is_chain
131 MAIN SOUTHPARK,5970 FAIRVIEW RD,Charlotte,NC,,MAIN SOUTHPARK,,other,other,other,0
131 MAIN,17830 STATESVILLE RD,Charlotte,NC,,MAIN,,other,other,other,0
131 MAIN,9886 REA RD,Charlotte,NC,,MAIN,,other,other,other,0
1368 SWEET CORNER,8156 S TRYON ST,Charlotte,NC,,SWEET CORNER,,other,bakery_cafe,bakery_cafe,0
1897 MARKET,5501 JOSH BIRMINGHAM PY,Charlotte,NC,,MARKET,,grocery_deli,,grocery_deli,0
1900 MEXICAN GRILL,1523 ELIZABETH AV,Charlotte,NC,,MEXICAN GRILL,,mexican,,mexican,0
1900 MEXICAN GRILL,5110 PARK RD,Charlotte,NC,,MEXICAN GRILL,,mexican,,mexican,0
204 N TRYON KITCHEN & COCKTAILS,204 N TRYON ST,Charlotte,NC,,N TRYON KITCHEN & COCKTAILS,,full_service,,full_service,0
220 C BANH MI & COFFEE,10020 MONROE RD,Charlotte,NC,,C BANH MI & COFFEE,,coffee_shop,,coffee_shop,0
24K BISTRO,9330 CENTER LAKE DR,Charlotte,NC,,24K BISTRO,,full_service,,full_service,0
3RD & FERNWOOD,1100 METROPOLITAN AV,Charlotte,NC,,3RD & FERNWOOD,,other,other,other,0
500 DEGREES PIZZERIA,6037 SOUTH BV,Charlotte,NC,,DEGREES PIZZERIA,,pizza,,pizza,0
550 FOODHALL,550 S TRYON ST,Charlotte,NC,,FOODHALL,,other,food_truck,other,0
7-ELEVEN #35562,2825 LITTLE ROCK RD,Charlotte,NC,,-ELEVEN,,other,grocery_deli,grocery_deli,0
7-ELEVEN #35592K,9502 MT HOLLY-HUNTERSVILLE RD,Charlotte,NC,,-ELEVEN 35592K,,other,grocery_deli,grocery_deli,0
704 KOREAN BBQ,8320 PINEVILLE-MATTHEWS RD,Charlotte,NC,,KOREAN BBQ,,bbq,,bbq,0
77 GROUNDS COFFEE,605 JETTON ST,Charlotte,NC,,GROUNDS COFFEE,,coffee_shop,,coffee_shop,0
7TH STREET NY DELI,401 HAWTHORNE LN,Charlotte,NC,,7TH STREET NY DELI,,fast_food_sandwich,,fast_food_sandwich,0
800 DEGREES UPTOWN,320 S TRYON ST,Charlotte,NC,,DEGREES UPTOWN,,other,fast_food_burger,fast_food_burger,0
800 DEGREES WOODFIRED KITCHEN / BAR ONE LOUNGE,6815 PHILLIPS PLACE CT,Charlotte,NC,,DEGREES WOODFIRED KITCHEN / BAR ONE LOUNGE,,bar,,bar,0
A TASTE OF HOPE,120 W CRAIGHEAD RD,Charlotte,NC,,A TASTE OF HOPE,,other,other,other,0
ABUGIDA CAFE,3007 CENTRAL AV,Charlotte,NC,,ABUGIDA CAFE,,coffee_shop,,coffee_shop,0
AC HOTEL CLT SOUTHPARK,1824 ROXBOROUGH RD,Charlotte,NC,,AC HOTEL CLT SOUTHPARK,,other,institutional,institutional,0
AC HOTEL,220 E TRADE ST,Charlotte,NC,,AC HOTEL,,other,institutional,institutional,0
AC MARRIOTT BALLANTYNE,14819 BALLANTYNE VILLAGE WY,Charlotte,NC,,AC MARRIOTT BALLANTYNE,,other,full_service,full_service,0
ACE NO 3,829 PROVIDENCE RD,Charlotte,NC,,ACE,,other,fast_food_burger,fast_food_burger,0
ACE NO.3,1001 BELMONT AV,Charlotte,NC,,ACE,,other,fast_food_burger,fast_food_burger,0
ADAMARYS RESTAURANTE Y PUPUSERIA,3100 CENTRAL AV,Charlotte,NC,,ADAMARYS RESTAURANTE Y PUPUSERIA,,full_service,,full_service,0
ADAMS MART #4,11924 ELM LN,Charlotte,NC,,ADAMS MART,,other,grocery_deli,grocery_deli,0
ADMIRALS CLUB B CONCOURSE,5501 JOSH BIRMINGHAM PY,Charlotte,NC,,ADMIRALS CLUB B CONCOURSE,,other,bar,bar,0
ADMIRALS CLUB C CONCOURSE,5501 JOSH BIRMINGHAM PY,Charlotte,NC,,ADMIRALS CLUB C CONCOURSE,,other,bar,bar,0
AKAHANA ASIAN BISTRO,1308 THE PLAZA,Charlotte,NC,,AKAHANA ASIAN BISTRO,,full_service,,full_service,0
AL CHILE SPORTS BAR,6701 N TRYON ST,Charlotte,NC,,AL CHILE SPORTS BAR,,sports_bar,,sports_bar,0
AL'S BAR & GRILLE,8321 MAGNOLIA ESTATES DR,Charlotte,NC,,AL S BAR & GRILLE,,bar,,bar,0
ALBERTINE/MILKBREAD UPTOWN,525 SOUTH TRYON ST,Charlotte,NC,,ALBERTINE/MILKBREAD UPTOWN,,other,bakery_cafe,bakery_cafe,0
