acs_year,state_fips,county_fips,tract,block_group,acs_data_year,median_income,total_pop,white,black,asian,total_pop_hispanic_table,hispanic,under_18,over_65,pct_white,pct_black,pct_asian,pct_hispanic
2018,37,119,003022,1,2023,116250.0,1298.0,1138.0,35.0,49.0,1298.0,19.0,,,0.8767334360554699,0.026964560862865947,0.03775038520801233,0.014637904468412942
2019,37,119,003022,1,2023,116250.0,1298.0,1138.0,35.0,49.0,1298.0,19.0,,,0.8767334360554699,0.026964560862865947,0.03775038520801233,0.014637904468412942
2020,37,119,003022,1,2023,116250.0,1298.0,1138.0,35.0,49.0,1298.0,19.0,,,0.8767334360554699,0.026964560862865947,0.03775038520801233,0.014637904468412942
2021,37,119,003022,1,2023,116250.0,1298.0,1138.0,35.0,49.0,1298.0,19.0,,,0.8767334360554699,0.026964560862865947,0.03775038520801233,0.014637904468412942
2022,37,119,003022,1,2023,116250.0,1298.0,1138.0,35.0,49.0,1298.0,19.0,,,0.8767334360554699,0.026964560862865947,0.03775038520801233,0.014637904468412942
2023,37,119,003022,1,2023,116250.0,1298.0,1138.0,35.0,49.0,1298.0,19.0,,,0.8767334360554699,0.026964560862865947,0.03775038520801233,0.014637904468412942
2015,37,119,005864,1,2023,119167.0,1635.0,958.0,271.0,82.0,1635.0,286.0,,,0.5859327217125382,0.1657492354740061,0.05015290519877676,0.1749235474006116
2016,37,119,005864,1,2023,119167.0,1635.0,958.0,271.0,82.0,1635.0,286.0,,,0.5859327217125382,0.1657492354740061,0.05015290519877676,0.1749235474006116
2017,37,119,005864,1,2023,119167.0,1635.0,958.0,271.0,82.0,1635.0,286.0,,,0.5859327217125382,0.1657492354740061,0.05015290519877676,0.1749235474006116
2018,37,119,005864,1,2023,119167.0,1635.0,958.0,271.0,82.0,1635.0,286.0,,,0.5859327217125382,0.1657492354740061,0.05015290519877676,0.1749235474006116
2019,37,119,005864,1,2023,119167.0,1635.0,958.0,271.0,82.0,1635.0,286.0,,,0.5859327217125382,0.1657492354740061,0.05015290519877676,0.1749235474006116
2020,37,119,005864,1,2023,119167.0,1635.0,958.0,271.0,82.0,1635.0,286.0,,,0.5859327217125382,0.1657492354740061,0.05015290519877676,0.1749235474006116
2021,37,119,005864,1,2023,119167.0,1635.0,958.0,271.0,82.0,1635.0,286.0,,,0.5859327217125382,0.1657492354740061,0.05015290519877676,0.1749235474006116
2022,37,119,005864,1,2023,119167.0,1635.0,958.0,271.0,82.0,1635.0,286.0,,,0.5859327217125382,0.1657492354740061,0.05015290519877676,0.1749235474006116
2023,37,119,005864,1,2023,119167.0,1635.0,958.0,271.0,82.0,1635.0,286.0,,,0.5859327217125382,0.1657492354740061,0.05015290519877676,0.1749235474006116
2022,37,119,005927,2,2023,69741.0,2572.0,536.0,1330.0,167.0,2572.0,243.0,,,0.208398133748056,0.5171073094867807,0.06493001555209954,0.09447900466562986
2023,37,119,005927,2,2023,69741.0,2572.0,536.0,1330.0,167.0,2572.0,243.0,,,0.208398133748056,0.5171073094867807,0.06493001555209954,0.09447900466562986
2015,37,119,002500,2,2023,71719.0,894.0,790.0,66.0,13.0,894.0,28.0,,,0.883668903803132,0.0738255033557047,0.0145413870246085,0.03131991051454139
