premises_name,premise_address_1,premise_city,premise_state,premise_zip,clean_name,chain_name,business_type,business_type_manual
131 MAIN,17830 STATESVILLE RD,Charlotte,NC,,MAIN,,other,
131 MAIN,9886 REA RD,Charlotte,NC,,MAIN,,other,
131 MAIN SOUTHPARK,5970 FAIRVIEW RD,Charlotte,NC,,MAIN SOUTHPARK,,other,
1368 SWEET CORNER,8156 S TRYON ST,Charlotte,NC,,SWEET CORNER,,other,
3RD & FERNWOOD,1100 METROPOLITAN AV,Charlotte,NC,,3RD & FERNWOOD,,other,
550 FOODHALL,550 S TRYON ST,Charlotte,NC,,FOODHALL,,other,
7-ELEVEN #35562,2825 LITTLE ROCK RD,Charlotte,NC,,-ELEVEN,,other,
7-ELEVEN #35592K,9502 MT HOLLY-HUNTERSVILLE RD,Charlotte,NC,,-ELEVEN 35592K,,other,
800 DEGREES UPTOWN,320 S TRYON ST,Charlotte,NC,,DEGREES UPTOWN,,other,
A TASTE OF HOPE,120 W CRAIGHEAD RD,Charlotte,NC,,A TASTE OF HOPE,,other,
AC HOTEL,220 E TRADE ST,Charlotte,NC,,AC HOTEL,,other,
AC HOTEL CLT SOUTHPARK,1824 ROXBOROUGH RD,Charlotte,NC,,AC HOTEL CLT SOUTHPARK,,other,
AC MARRIOTT BALLANTYNE,14819 BALLANTYNE VILLAGE WY,Charlotte,NC,,AC MARRIOTT BALLANTYNE,,other,
ACE NO 3,829 PROVIDENCE RD,Charlotte,NC,,ACE,,other,
ACE NO.3,1001 BELMONT AV,Charlotte,NC,,ACE,,other,
ADAMS MART #4,11924 ELM LN,Charlotte,NC,,ADAMS MART,,other,
ADMIRALS CLUB B CONCOURSE,5501 JOSH BIRMINGHAM PY,Charlotte,NC,,ADMIRALS CLUB B CONCOURSE,,other,
ADMIRALS CLUB C CONCOURSE,5501 JOSH BIRMINGHAM PY,Charlotte,NC,,ADMIRALS CLUB C CONCOURSE,,other,
ALBERTINE/MILKBREAD UPTOWN,525 SOUTH TRYON ST,Charlotte,NC,,ALBERTINE/MILKBREAD UPTOWN,,other,
ALEXANDER MICHAELS,401 W NINTH ST,Charlotte,NC,,ALEXANDER MICHAELS,,other,
ALOFT CHARLOTTE AIRPORT,3928 MEMORIAL PY,Charlotte,NC,,ALOFT CHARLOTTE AIRPORT,,other,
ALOFT CHARLOTTE BALLANTYNE,13139 BALLANTYNE CORPORATE PL,Charlotte,NC,,ALOFT CHARLOTTE BALLANTYNE,,other,
AMC CAROLINA PAVILION 22,9541 SOUTH BV,Charlotte,NC,,AMC CAROLINA PAVILION,,other,
AMC THEATERS 14 NORTHLAKE,7325 NORTHLAKE MALL DR,Charlotte,NC,,AMC THEATERS NORTHLAKE,,other,
AMELIES PARK RD,4321 PARK RD,Charlotte,NC,,AMELIES PARK RD,,other,
AMERICAN AIRLINES TRAINING CENTER,4800 HANGAR RD,Charlotte,NC,,AMERICAN AIRLINES TRAINING CENTER,,other,
AMERICAN EXPRESS CENTURION LOUNGE,5501 JOSH BIRMINGHAM PY,Charlotte,NC,,AMERICAN EXPRESS CENTURION LOUNGE,,other,
AMF UNIVERSITY LANES,5900 N TRYON ST,Charlotte,NC,,AMF UNIVERSITY LANES,,other,
ANGELINES & CATERING,303 S CHURCH ST,Charlotte,NC,,ANGELINES & CATERING,,other,
ANGRY ALES,1518 MONTFORD DR,Charlotte,NC,,ANGRY ALES,,other,
ANJEHS AFRICAN & CARIBBEAN CUISINE,6434 W SUGAR CREEK RD,Charlotte,NC,,ANJEHS AFRICAN & CARIBBEAN CUISINE,,other,
ANTOJITOS CATRACHOS,6404 ALBEMARLE RD,Charlotte,NC,,ANTOJITOS CATRACHOS,,other,
ANTOJOS LOCOS,5534 ALBEMARLE RD,Charlotte,NC,,ANTOJOS LOCOS,,other,
APPLEBEE'S #1096,10921 CAROLINA PLACE PY,Charlotte,NC,,APPLEBEE S,,other,
APPLEBEES #1095,9616 E INDEPENDENCE BV,Charlotte,NC,,APPLEBEES,,other,
AQUA E VINO,4219 PROVIDENCE RD,Charlotte,NC,,AQUA E VINO,,other,
ARAMARK AT CORNING CHARLOTTE,4200 CORNING PL,Charlotte,NC,,ARAMARK AT CORNING CHARLOTTE,,other,
ARBOL EATERY,227 W TRADE ST,Charlotte,NC,,ARBOL EATERY,,other,
ARBY'S #5527,597 N POLK ST,Charlotte,NC,,ARBY S,,other,
ARBY'S #8798,5226 E INDEPENDENCE BV,Charlotte,NC,,ARBY S,,other,
ARBYS #8076 REA FARMS,9923 SANDY ROCK PL,Charlotte,NC,,ARBYS REA FARMS,,other,
ARBYS #8573,18240 STATESVILLE RD,Charlotte,NC,,ARBYS,,other,
ARBYS #8718,12936 ALBEMARLE RD,Charlotte,NC,,ARBYS,,other,
ARBY`S #7023,7008 W W T HARRIS BV,Charlotte,NC,,ARBY S,,other,
