premises_name,premise_address_1,premise_city,premise_state,premise_zip,clean_name,chain_name,business_type,business_type_manual,ollama_category,ollama_confidence,ollama_reason,ollama_raw
131 MAIN,17830 STATESVILLE RD,Charlotte,NC,,MAIN,,other,,other,0.0,no clear indication of food type,"{""category"":""other"",""confidence"":0.0,""reason"":""no clear indication of food type""}"
131 MAIN,9886 REA RD,Charlotte,NC,,MAIN,,other,,other,0.0,unknown establishment type,"{""category"":""other"",""confidence"":0.0,""reason"":""unknown establishment type""}"
131 MAIN SOUTHPARK,5970 FAIRVIEW RD,Charlotte,NC,,MAIN SOUTHPARK,,other,,other,1.0,No specific category available,"{""category"":""other"",""confidence"":1.0,""reason"":""No specific category available""}"
1368 SWEET CORNER,8156 S TRYON ST,Charlotte,NC,,SWEET CORNER,,other,,bakery_cafe,0.9,Establishment name suggests bakery/dessert focus,"{""category"":""bakery_cafe"",""confidence"":0.9,""reason"":""Establishment name suggests bakery/dessert focus""}"
3RD & FERNWOOD,1100 METROPOLITAN AV,Charlotte,NC,,3RD & FERNWOOD,,other,,other,0.0,short reason,"{""category"":""other"",""confidence"":0.0,""reason"":""short reason""}"
550 FOODHALL,550 S TRYON ST,Charlotte,NC,,FOODHALL,,other,,food_truck,0.8,"Foodhall is a type of food hall that typically features multiple vendors, including food trucks.","{""category"":""food_truck"",""confidence"":0.8,""reason"":""Foodhall is a type of food hall that typically features multiple vendors, including food trucks.""}"
7-ELEVEN #35562,2825 LITTLE ROCK RD,Charlotte,NC,,-ELEVEN,,other,,grocery_deli,0.9,convenience store with food and beverage options,"{""category"":""grocery_deli"",""confidence"":0.9,""reason"":""convenience store with food and beverage options""}"
7-ELEVEN #35592K,9502 MT HOLLY-HUNTERSVILLE RD,Charlotte,NC,,-ELEVEN 35592K,,other,,grocery_deli,0.9,convenience store with food and beverage options,"{""category"":""grocery_deli"",""confidence"":0.9,""reason"":""convenience store with food and beverage options""}"
800 DEGREES UPTOWN,320 S TRYON ST,Charlotte,NC,,DEGREES UPTOWN,,other,,fast_food_burger,0.8,Highly likely due to name and location,"{""category"":""fast_food_burger"",""confidence"":0.8,""reason"":""Highly likely due to name and location""}"
A TASTE OF HOPE,120 W CRAIGHEAD RD,Charlotte,NC,,A TASTE OF HOPE,,other,,other,0.8,"No clear indication of a specific food category, but 'Taste of Hope' suggests a potential restaurant or cafe","{""category"":""other"",""confidence"":0.8,""reason"":""No clear indication of a specific food category, but 'Taste of Hope' suggests a potential restaurant or cafe""}"
AC HOTEL,220 E TRADE ST,Charlotte,NC,,AC HOTEL,,other,,institutional,1.0,Hotel,"{""category"":""institutional"",""confidence"":1.0,""reason"":""Hotel""}"
AC HOTEL CLT SOUTHPARK,1824 ROXBOROUGH RD,Charlotte,NC,,AC HOTEL CLT SOUTHPARK,,other,,institutional,1.0,Hotel,"{""category"":""institutional"",""confidence"":1.0,""reason"":""Hotel""}"
AC MARRIOTT BALLANTYNE,14819 BALLANTYNE VILLAGE WY,Charlotte,NC,,AC MARRIOTT BALLANTYNE,,other,,full_service,1.0,hotel,"{""category"":""full_service"",""confidence"":1.0,""reason"":""hotel""}"
ACE NO 3,829 PROVIDENCE RD,Charlotte,NC,,ACE,,other,,fast_food_burger,1.0,ACE is a fast food burger chain,"{""category"":""fast_food_burger"",""confidence"":1.0,""reason"":""ACE is a fast food burger chain""}"
ACE NO.3,1001 BELMONT AV,Charlotte,NC,,ACE,,other,,fast_food_burger,0.9,Typical fast food burger joint,"{""category"":""fast_food_burger"",""confidence"":0.9,""reason"":""Typical fast food burger joint""}"
ADAMS MART #4,11924 ELM LN,Charlotte,NC,,ADAMS MART,,other,,grocery_deli,0.8,grocery store,"{""category"":""grocery_deli"",""confidence"":0.8,""reason"":""grocery store""}"
ADMIRALS CLUB B CONCOURSE,5501 JOSH BIRMINGHAM PY,Charlotte,NC,,ADMIRALS CLUB B CONCOURSE,,other,,bar,0.8,"contains ""B CONCOURSE"" which suggests a bar or lounge area","{""category"":""bar"",""confidence"":0.8,""reason"":""contains \""B CONCOURSE\"" which suggests a bar or lounge area""}"
ADMIRALS CLUB C CONCOURSE,5501 JOSH BIRMINGHAM PY,Charlotte,NC,,ADMIRALS CLUB C CONCOURSE,,other,,bar,0.9,"contains ""club"" in its name, indicating a bar or nightclub","{""category"":""bar"",""confidence"":0.9,""reason"":""contains \""club\"" in its name, indicating a bar or nightclub""}"
ALBERTINE/MILKBREAD UPTOWN,525 SOUTH TRYON ST,Charlotte,NC,,ALBERTINE/MILKBREAD UPTOWN,,other,,bakery_cafe,0.9,Establishment serves baked goods and has a cafe aspect,"{""category"":""bakery_cafe"",""confidence"":0.9,""reason"":""Establishment serves baked goods and has a cafe aspect""}"
