Premise Address 1,Premise City,Premise State,Premise ZIP,acs_year,matched_address,lon,lat,state_fips,county_fips,tract,block,block_group,geoid_tract,geoid_block_group
5970 FAIRVIEW RD,Charlotte,NC,,2018,"5970 FAIRVIEW RD, CHARLOTTE, NC, 28210",-80.840485534187,35.151211658816,37,119,003022,1000,1,37119003022,371190030221
5970 FAIRVIEW RD,Charlotte,NC,,2019,"5970 FAIRVIEW RD, CHARLOTTE, NC, 28210",-80.840485534187,35.151211658816,37,119,003022,1000,1,37119003022,371190030221
5970 FAIRVIEW RD,Charlotte,NC,,2020,"5970 FAIRVIEW RD, CHARLOTTE, NC, 28210",-80.840485534187,35.151211658816,37,119,003022,1000,1,37119003022,371190030221
5970 FAIRVIEW RD,Charlotte,NC,,2021,"5970 FAIRVIEW RD, CHARLOTTE, NC, 28210",-80.840485534187,35.151211658816,37,119,003022,1000,1,37119003022,371190030221
5970 FAIRVIEW RD,Charlotte,NC,,2022,"5970 FAIRVIEW RD, CHARLOTTE, NC, 28210",-80.840485534187,35.151211658816,37,119,003022,1000,1,37119003022,371190030221
5970 FAIRVIEW RD,Charlotte,NC,,2023,"5970 FAIRVIEW RD, CHARLOTTE, NC, 28210",-80.840485534187,35.151211658816,37,119,003022,1000,1,37119003022,371190030221
17830 STATESVILLE RD,Charlotte,NC,,2015,,,,,,,,,,
17830 STATESVILLE RD,Charlotte,NC,,2016,,,,,,,,,,
17830 STATESVILLE RD,Charlotte,NC,,2017,,,,,,,,,,
17830 STATESVILLE RD,Charlotte,NC,,2018,,,,,,,,,,
17830 STATESVILLE RD,Charlotte,NC,,2019,,,,,,,,,,
17830 STATESVILLE RD,Charlotte,NC,,2020,,,,,,,,,,
17830 STATESVILLE RD,Charlotte,NC,,2021,,,,,,,,,,
17830 STATESVILLE RD,Charlotte,NC,,2022,,,,,,,,,,
17830 STATESVILLE RD,Charlotte,NC,,2023,,,,,,,,,,
9886 REA RD,Charlotte,NC,,2015,"9886 REA RD, CHARLOTTE, NC, 28277",-80.805503778422,35.03326438474,37,119,005864,1008,1,37119005864,371190058641
9886 REA RD,Charlotte,NC,,2016,"9886 REA RD, CHARLOTTE, NC, 28277",-80.805503778422,35.03326438474,37,119,005864,1008,1,37119005864,371190058641
9886 REA RD,Charlotte,NC,,2017,"9886 REA RD, CHARLOTTE, NC, 28277",-80.805503778422,35.03326438474,37,119,005864,1008,1,37119005864,371190058641
9886 REA RD,Charlotte,NC,,2018,"9886 REA RD, CHARLOTTE, NC, 28277",-80.805503778422,35.03326438474,37,119,005864,1008,1,37119005864,371190058641
9886 REA RD,Charlotte,NC,,2019,"9886 REA RD, CHARLOTTE, NC, 28277",-80.805503778422,35.03326438474,37,119,005864,1008,1,37119005864,371190058641
9886 REA RD,Charlotte,NC,,2020,"9886 REA RD, CHARLOTTE, NC, 28277",-80.805503778422,35.03326438474,37,119,005864,1008,1,37119005864,371190058641
9886 REA RD,Charlotte,NC,,2021,"9886 REA RD, CHARLOTTE, NC, 28277",-80.805503778422,35.03326438474,37,119,005864,1008,1,37119005864,371190058641
9886 REA RD,Charlotte,NC,,2022,"9886 REA RD, CHARLOTTE, NC, 28277",-80.805503778422,35.03326438474,37,119,005864,1008,1,37119005864,371190058641
9886 REA RD,Charlotte,NC,,2023,"9886 REA RD, CHARLOTTE, NC, 28277",-80.805503778422,35.03326438474,37,119,005864,1008,1,37119005864,371190058641
8156 S TRYON ST,Charlotte,NC,,2022,"8156 S TRYON ST, CHARLOTTE, NC, 28273",-80.929980018257,35.143016110278,37,119,005927,2008,2,37119005927,371190059272
8156 S TRYON ST,Charlotte,NC,,2023,"8156 S TRYON ST, CHARLOTTE, NC, 28273",-80.929980018257,35.143016110278,37,119,005927,2008,2,37119005927,371190059272
5501 JOSH BIRMINGHAM PY,Charlotte,NC,,2015,,,,,,,,,,
5501 JOSH BIRMINGHAM PY,Charlotte,NC,,2016,,,,,,,,,,
5501 JOSH BIRMINGHAM PY,Charlotte,NC,,2017,,,,,,,,,,
5501 JOSH BIRMINGHAM PY,Charlotte,NC,,2018,,,,,,,,,,
5501 JOSH BIRMINGHAM PY,Charlotte,NC,,2019,,,,,,,,,,
5501 JOSH BIRMINGHAM PY,Charlotte,NC,,2020,,,,,,,,,,
5501 JOSH BIRMINGHAM PY,Charlotte,NC,,2021,,,,,,,,,,
5501 JOSH BIRMINGHAM PY,Charlotte,NC,,2022,,,,,,,,,,
5501 JOSH BIRMINGHAM PY,Charlotte,NC,,2023,,,,,,,,,,
1523 ELIZABETH AV,Charlotte,NC,,2015,"1523 ELIZABETH AVE, CHARLOTTE, NC, 28204",-80.827556077872,35.214559706802,37,119,002500,2022,2,37119002500,371190025002
1523 ELIZABETH AV,Charlotte,NC,,2016,"1523 ELIZABETH AVE, CHARLOTTE, NC, 28204",-80.827556077872,35.214559706802,37,119,002500,2022,2,37119002500,371190025002
1523 ELIZABETH AV,Charlotte,NC,,2017,"1523 ELIZABETH AVE, CHARLOTTE, NC, 28204",-80.827556077872,35.214559706802,37,119,002500,2022,2,37119002500,371190025002
1523 ELIZABETH AV,Charlotte,NC,,2018,"1523 ELIZABETH AVE, CHARLOTTE, NC, 28204",-80.827556077872,35.214559706802,37,119,002500,2022,2,37119002500,371190025002
1523 ELIZABETH AV,Charlotte,NC,,2019,"1523 ELIZABETH AVE, CHARLOTTE, NC, 28204",-80.827556077872,35.214559706802,37,119,002500,2022,2,37119002500,371190025002
1523 ELIZABETH AV,Charlotte,NC,,2020,"1523 ELIZABETH AVE, CHARLOTTE, NC, 28204",-80.827556077872,35.214559706802,37,119,002500,2022,2,37119002500,371190025002
1523 ELIZABETH AV,Charlotte,NC,,2021,"1523 ELIZABETH AVE, CHARLOTTE, NC, 28204",-80.827556077872,35.214559706802,37,119,002500,2022,2,37119002500,371190025002
1523 ELIZABETH AV,Charlotte,NC,,2022,"1523 ELIZABETH AVE, CHARLOTTE, NC, 28204",-80.827556077872,35.214559706802,37,119,002500,2022,2,37119002500,371190025002
1523 ELIZABETH AV,Charlotte,NC,,2023,"1523 ELIZABETH AVE, CHARLOTTE, NC, 28204",-80.827556077872,35.214559706802,37,119,002500,2022,2,37119002500,371190025002
5110 PARK RD,Charlotte,NC,,2015,"5110 PARK RD, CHARLOTTE, NC, 28209",-80.848992386387,35.161218809817,37,119,003111,2002,2,37119003111,371190031112
5110 PARK RD,Charlotte,NC,,2016,"5110 PARK RD, CHARLOTTE, NC, 28209",-80.848992386387,35.161218809817,37,119,003111,2002,2,37119003111,371190031112
5110 PARK RD,Charlotte,NC,,2017,"5110 PARK RD, CHARLOTTE, NC, 28209",-80.848992386387,35.161218809817,37,119,003111,2002,2,37119003111,371190031112
5110 PARK RD,Charlotte,NC,,2018,"5110 PARK RD, CHARLOTTE, NC, 28209",-80.848992386387,35.161218809817,37,119,003111,2002,2,37119003111,371190031112
5110 PARK RD,Charlotte,NC,,2019,"5110 PARK RD, CHARLOTTE, NC, 28209",-80.848992386387,35.161218809817,37,119,003111,2002,2,37119003111,371190031112
5110 PARK RD,Charlotte,NC,,2020,"5110 PARK RD, CHARLOTTE, NC, 28209",-80.848992386387,35.161218809817,37,119,003111,2002,2,37119003111,371190031112
5110 PARK RD,Charlotte,NC,,2021,"5110 PARK RD, CHARLOTTE, NC, 28209",-80.848992386387,35.161218809817,37,119,003111,2002,2,37119003111,371190031112
5110 PARK RD,Charlotte,NC,,2022,"5110 PARK RD, CHARLOTTE, NC, 28209",-80.848992386387,35.161218809817,37,119,003111,2002,2,37119003111,371190031112
5110 PARK RD,Charlotte,NC,,2023,"5110 PARK RD, CHARLOTTE, NC, 28209",-80.848992386387,35.161218809817,37,119,003111,2002,2,37119003111,371190031112
204 N TRYON ST,Charlotte,NC,,2016,"204 N TRYON ST, CHARLOTTE, NC, 28202",-80.841803435662,35.228014092456,37,119,000104,1018,1,37119000104,371190001041
204 N TRYON ST,Charlotte,NC,,2017,"204 N TRYON ST, CHARLOTTE, NC, 28202",-80.841803435662,35.228014092456,37,119,000104,1018,1,37119000104,371190001041
204 N TRYON ST,Charlotte,NC,,2018,"204 N TRYON ST, CHARLOTTE, NC, 28202",-80.841803435662,35.228014092456,37,119,000104,1018,1,37119000104,371190001041
204 N TRYON ST,Charlotte,NC,,2019,"204 N TRYON ST, CHARLOTTE, NC, 28202",-80.841803435662,35.228014092456,37,119,000104,1018,1,37119000104,371190001041
204 N TRYON ST,Charlotte,NC,,2020,"204 N TRYON ST, CHARLOTTE, NC, 28202",-80.841803435662,35.228014092456,37,119,000104,1018,1,37119000104,371190001041
204 N TRYON ST,Charlotte,NC,,2021,"204 N TRYON ST, CHARLOTTE, NC, 28202",-80.841803435662,35.228014092456,37,119,000104,1018,1,37119000104,371190001041
204 N TRYON ST,Charlotte,NC,,2022,"204 N TRYON ST, CHARLOTTE, NC, 28202",-80.841803435662,35.228014092456,37,119,000104,1018,1,37119000104,371190001041
